title,release_date,lyricist,composer,arranger,lyrics
Who I Am(木曜ドラマ「七人の秘書」主題歌),2020.12.2 リリース,"Toru, milet","Toru, milet",,"I'm trying to keep my head high
あの光ひかりはもう見みえない
誰だれのせいでもないけど 失うしなうばかりじゃ no more

何なにかひとつ足たりなくて
泣ないても笑わらっても違ちがくて
Been slowly losing my grip on my life
But now I'm moving forward somehow

Remember who you are
騙だました思おもいから

You're testing my patience
My life is nonfiction
最後さいごのステージから over and over
You're making me stronger
塞ふさいだ自由じゆうが
いま吐はき出だす 繰くり返かえすこの声こえが who I am

I've come up empty handed
抜ぬけ殻がらの頭あたまでもがいて
ただ夜明よあけを待まっていた
ずっと扉とびらは開ひらいていた

駆かけ上あがっていくんだ
声こえを無なく We're hurting inside
きっと痛いたいほどわかっていた
But please don't stop till you get enough

Remember who you are
繋つないだ両手りょうてが

You're testing my patience
My life is nonfiction
最後さいごのステージから over and over
You're making me stronger
塞ふさいだ自由じゆうが
いま吐はき出だす 繰くり返かえすこの声こえが who I am

You make me strong enough to face my fears
No matter what they say, I choose to believe
You make me strong enough to face my fears

You're testing my patience
My life is nonfiction
最後さいごのステージから over and over
You're making me stronger
救すくえない昨日きのうも
No, I won't deny it anymore

You're testing my patience
My life is nonfiction
最後さいごのステージから over and over
You're making me stronger
塞ふさいだ自由じゆうが
いま吐はき出だす 繰くり返かえすこの声こえが who I am"
Nobody Knows(映画「知らないカノジョ」劇中歌),2025.2.26 リリース,milet,"milet, TomoLow",TomoLow,"Take me there
I don't know where is here
I shouldn't ask to stay
乗のり過すごしたら I lost my way

頭あたまじゃ わかっていた(Time flies by)
心こころは黙だまっていた(Just let it go)
五感ごかん鈍にぶってく
それでもI'm not gonna stop

'Cause I'm still here
I cry eye eye
But I stand tall and fight
I know what I want

Everything, every change
It's my turn to show now
迷まよいたい 探さがしたい
それが答こたえじゃなくたって

Don't let my sorrow turn to hate
I'll tell you what will happen next
So if it's up to me

Nobody knows it
Nobody knows

鳴ならしていた 行いき場ばを探さがしていた
いつだって不確ふたしかな 音おとが扉とびら叩たたいていた

曖昧あいまいを歌うたっていたい(愛あいしていたい)
1秒びょう先さき 変かわっていたい(I still try)
綱渡つなわたりの先さきには look how I glow

'Cause I'm still here
I cry eye eye
But I stand tall and fight
I know what I want

Everything, every change
It's my turn to show now
迷まよいたい 探さがしたい
それが答こたえじゃなくたって

If I'm in the darkness
But it's not that bad, boy
I become a light in me

I haven't seen yet the worst or best of me
So I gotta find my own way

もう戻もどらない 忘わすれない
どんな昨日きのうにいたって
迷まよいたい 探さがしたい
それが答こたえじゃなくたって

Everything, every change
It's my turn to show now
変かわりたい?変かわれない?
誰だれもわかんない so try me!

Don't let my sorrow turn to hate
I'll tell you what will happen next
So if it's up to me

Nobody knows it
Nobody knows"
Fly High(NHKウィンタースポーツテーマソング),2022.2.2 リリース,milet,"milet, TomoLow",,"You fly high
ただ笑わらっていた
そして流ながしていた 涙なみだに気きづかず

未完成みかんせいな 日々ひびを睨にらんでは
飽あきずイメージした
明日あすの軌道きどうを描えがいていた

I feel you breathing
ため息いきを押おしこんで眠ねむってた
I'm not scared 'cause I know you're with me
あと一いっ歩ぽで変かわれる どんな風かぜが吹ふいても

どこまでも 高たかく高たかく飛とべると
見みたことのない景色けしきまで
誰だれよりも 強つよく強つよく叫さけんだ
その背中せなかへ届とどくまで

You're gonna fly
You're gonna fly so high
You're gonna run
We're gonna run together

はやまる動悸どうきが 繰くり返かえす「もういいかい」
5度ど上うえを狙ねらう メロディーに向むかい

羽はねを広ひろげて 呟つぶやく「もういいさ」
いつか無我夢中むがむちゅうで描えがいていた あの世界せかいへ

Stronger and louder
'Cause I'm a believer

I feel you breathing
あなただけに開ひらけるドアがある
I'm not scared 'cause I know you're with me
その一いっ歩ぽで変かわれる どんな風かぜが吹ふいても

どこまでも 高たかく高たかく飛とべると
願ねがい続つづけた夜明よあけまで
誰だれよりも 強つよく強つよく叫さけんだ
その背中せなかへ届とどくまで

You're gonna fly
You're gonna fly so high
You're gonna run
We're gonna run together

I know you can
I know you can fly high
(I know we can)
We're gonna run together"
Drown(「ヴィランド・サガ」2ndクール エンディングテーマ),2020.6.3 リリース,milet,milet,,"Feeling like I' m almost there, but I' m not
音おともない風かぜに漂ただよう bones
途切とぎれて消きえない声こえの方ほう
何なにも知しらないまま戻もどれないでしょう

同おなじ色いろの目めにうつる
違ちがう色いろの息いきを吐はく

You' re gonna make me go
You' re gonna make me drown
失うしなうものはもう何なにもない
You' re gonna make me go
You' re gonna make me drown
No, I don' t want it
But I know no one's there
はざまを辿たどって

Feeling like I' m living in your shadow
浅あさい傷きずに棲すみついたsorrow
振ふり下おろせない錆さびたナイフ
誰だれも知しらない君きみがそこにいたんでしょう

抱だきしめてあげるよ
その息いきを吸すって泳およぐ

You' re gonna make me go
You' re gonna make me drown
足場あしばもない答こたえ 前まえへ向むかう
You' re gonna make me go
You' re gonna make me drown
No, I don't want it
But I know ｎ０ one's there

I know no one' s there
I' ll stay, I' ll stay
I know no one' s there

You' re gonna make me go
You' re gonna make me drown
失うしなうものはもう何なにもない
You' re gonna make me go
You' re gonna make me drown
No, I don' t want it
Don' t let me go (Don' t let me go)
You' re gonna make me drown (Don' t let me drown)
足場あしばもない答こたえ前まえへ向むかう
You' re gonna make me go
You' re gonna make me drown
No, I don' t want it
But I know no one' ｓ there

I know no one' ｓ there
I will stay right here
はざまを辿たどって"
Final Call(「七人の秘書 THE MOVIE」主題歌),2022.10.3 リリース,"Toru, milet","Toru, MEG, milet",,"Oh something's wrong but it seems so right
Feel like I'm playing the same game but
うなだれたまま 狙ねらいをズラし
また ""Sorry"" でもあすも予想よそう通どおり
痛いたみすら元通もとどおり
白黒しろくろつかない 日々ひびを濁にごしてる

Can you hear this? Tick tack tick
It ain't stop
塗ぬり替かえる今日きょうを

エンドロールじゃまだ終おわれない
減速げんそく無なしで躊躇ためらわずダイブ
Just get me out, get it out
It's a final call to build my faith
Who says? I say!
If you take it all away
手探てさぐりの narrow way

お互たがい様さまね バイプレイヤー
夢ゆめを彷徨さまよう life driver
上書うわがきの苦悩くのう 気付きづかぬフリで
Hating people around me for no meaning?
どれも自分じぶんに向むけた irony
God no way, God knows way
その手てを掲かかげて

Can you hear this? Tick tack tick
It ain't stop
戻もどれない今日きょうを

エンドロールじゃまだ終おわれない
でも今いまさら止とまれやしない
Just get me out, get it out
It's a final call to build my faith
Who says? I say!
If you take it all away
繰くり返かえす narrow way

Who says? I say
Who saves my life
No one's gonna know, know, know

Who cares? I care
Don't waste my time
I say no
It's now or never, change my life

It's who I am
エンドロールが始はじまりの合図あいず
メデタシがお仕舞しまいじゃない
Just get me out, get it out
It's a final call to build my faith

You bet? Yeah I bet my everything now
Here I am
Time's up? No, not yet
You're never gonna keep me down

Who says? I say!
If you take it all away
手探てさぐりの narrow way"
Rewrite,2019.8.21 リリース,"milet, Ryosuke'Dr.R'Sakai","milet, Ryosuke'Dr.R'Sakai",,"We're all in a movie
We know anything goes here
何なにも見みず Say my lines
夢ゆめでも Save your life

No, no one's gonna judge me though
Only you can touch me now
あらすじは I've erased
地図ちずにない道みち We walk

We're so fearless
そのまま You can go wherever you want
I don't care if they say no
壁かべ伝づたいの Echoes will go oh

Oh I...
We don't need something so special
We already know we're special
We are forever (We'll live, We'll live forever)
Forever

Maybe I'm a stranger and maybe all you have is just one line
But we can try to rewrite now
Yah we know how to rewrite now
使つかえないplotはもう この夜よるに置おいていこう
忘わすれないphraseをひとつ 生いき続つづくphraseをひとつ

We're so alike
そのまま You can go wherever you want
I don't care if they say no
何なにもないステージでも We'll go oh

Oh I...
We don't need something so special
We already know we're special
We are forever (We'll live, We'll live forever)
Forever (Forevermore)

'Cause I feel like there's no end but
巻まき戻もどすことはない We just keep on
I believe our, I believe our time

Oh I...
We don't need something so special
We already know we're special
We are forever (We'll live, We'll live forever)
Forever"
b r o k e n,2023.8.30 リリース,milet,"MEG, milet",,"I ease all away
So you can't destroy me and my past
ほらまわりだした running wheel
ネジが吹ふき飛とぶまで

消きえたい消けしたいは矛盾むじゅんではない
Every day every night
Crazy voice in my head and it's like
Get up, get up
I gotta turn it up
Get up, get up
Now I gotta turn it up

A demon in my blood I feel it
You can't take me back anymore
A bullet in my back I feel it
I want more

Over and over
You'll take me under but I'm on my tombstone
Go home baby
No I won't slumber, you'll say I'm
b r o k e n broken

Sorry I'm not 止とまれそう?
No at all
My heart's too numb to cry for you
Nothing to lose, it's so true
In my DNA this fire's burning within

手当てあたり次第しだい放はなつ fire arrow の行方ゆくえ
""Here you are all equally worthless""
今いまは誰だれも shutout

Talkin' to me
A demon in my blood I feel it
You can't take me back anymore
A bullet in my back I feel it
I want more

Over and over
You'll take me under but I'm on my tombstone
Go home baby
No I won't slumber you'll say I'm
b r o k e n broken

Sorry I'm not 止とまれそう? No at all
My heart's too numb to cry for you
Nothing to lose, it's so true
In my DNA this fire's burning within

Holy hands
I'm gonna bury my
Holy pride
That I was holding on
Holy Grail
You gotta save my life
Show me the light
You gotta find my hope now

Holy hands
虚むなしさの奥おく
Holy pride
どこにもいかない
Holy Grail
先さきを照てらして
Show me the light

Over and over and
You'll take me under but I'm on my tombstone
Go home baby
No I won't, you'll say I'm
b r o k e n broken

Sorry I'm not 止とまれそう? No at all
My heart's too numb to cry for you
Nothing to lose, it's so true
In my DNA this fire's burning within

Sorry I'm not, nobody knows
(Find me, guide me)
Just grab the wall holding the hope
(Try me, shoot me)"
Walkin' In My Lane(木曜劇場「やんごとなき一族」主題歌),2022.5.25 リリース,"milet, Ryosuke""Dr.R"" Sakai","milet, Ryosuke""Dr.R"" Sakai",,"わかってないとか言いわれたって
笑わらってばっかじゃいられなくて
Can't go back
But we know that we can go far

Make a wish
Hey what are you doin' doin' doin' do without me
こんな日ひに限かぎって

Now, mayday
吹ふき消けすキャンドルは増ふえても sorry
思おもい出でを rolling

なのになぜ lonely lonely
日々ひびはスローモーションのように
霞かすんで見みえるのかな
誰だれもが同おなじかな
一人ひとりぼっち同士どうし
逆さからってこうぜ どうせ
期限付きげんつき life time を
飽あきるまで Why don't we slip away

わかってないとか言いわれたって
笑わらってばっかじゃいられなくて
Can't go back
But we know that we can go far

I know, I know あと少すこしだって
騙だまし騙だまし 回まわり道みちだって見みたいのは
酸すいも甘あまいも溶とかすよ lovestruck

いつまで待まっていたって It's never enough
Look into my eyes
You're my life
Will you stay tonight

反射的はんしゃてきな ""I love you"" じゃもう足たりない
ないものねだり ねえdarling
There's no need for goodbye

Stay awake
泣なけない理由りゆうが増ふえては falling
1人ひとりの夜よるに

Now you miss me?
押おし潰つぶす恋こいしさを枕まくらの裏うらに
眠ねむれず Who saves me

いつまでも lonely lonely
わかったつもりなのに
私わたしをほどいてよ
誰だれより求もとめてよ
何度なんど強つよがってみたって
愛あいしてしまうんだ どうせ
期限付きげんつき life time を
飽あきるまで Why don't we slip away

わかってないとか言いわれたって
笑わらってばっかじゃいられなくて
Can't go back
But we know that we can go far

I know, I know あと少すこしだって
騙だまし騙だまし 回まわり道みちだって見みたいのは
酸すいも甘あまいも溶とかすよ lovestruck

Oh nothing has changed
I'm walkin' in my lane
Like dancing in the rain with you

わかってないとか言いわれたって
笑わらってばっかじゃいられなくて
Can't go back
But we know that we can go far

I know, I know あと少すこしだって
騙だまし騙だまし 回まわり道みちだって見みたいのは
酸すいも甘あまいも溶とかすよ lovestruck

いつまで待まっていたって It's never enough
Look into my eyes
You're my life
Will you stay tonight

反射的はんしゃてきな ""I love you"" じゃもう足たりない
ないものねだり ねえdarling
There's no need for goodbye

We know that we can go far"
Again and Again(ドラマ JOKER×FACE メイン・テーマ),2019.3.6 リリース,milet,"Tomolow, milet",,"Why? それでも何なにかがあると思おもっていた
深ふかい底そこでただ朝あさを待まっていた
抜ぬけ出だすための答こたえは持もっていた oh

Somebody tell me
無駄むだじゃないと まだ見みたいんだ
もう行いき場ばなんてなくたって
I know it's worth it
何度なんどだって 抜ぬけ出だすまで

For lonely dreamers
終おわりもない始はじめもない まだ
We can start all over
Again and again, again and again
It's time to go

誰だれにもわからない かわりなんていない
どこへでもいくんだ Who knows where to go

壊こわされながら 流ながされながら
確たしかめながら 遠とおい先さきまで

Why? 考かんがえることもせず走はしっていた
行いき先さきすらも見みずに乗のり込こんでいた
飛とび込こむための勇気ゆうきは持もっていた oh

Nobody knows it
孤独こどくだって それでいいんだ
アテなんてハナからなくて

But I know it's worth it
何度なんどだって 抜ぬけ出だすまで

For lonely dreamers
終おわりもない始はじめもない まだ
We can start all over
Again and again, again and again
It's time to go

それでも何なにかがあると思おもっていた Oh oh
I won't let go

For lonely dreamers
終おわりもない始はじめもない まだ
We can start all over
Again and again, again and again
It's time to go

誰だれにもわからない かわりなんていない
どこへでもいくんだ
Who knows where to go

壊こわされながら 流ながされながら
確たしかめながら 遠とおい先さきまで"
Higher,2024.1.31 リリース,"milet, Ryosuke“Dr.R”Sakai","milet, Ryosuke“Dr.R”Sakai",,"I don't need your help
棘おどろになっていたいだけ
一足ひとあし先さきにdive
風穴かざあな開あけてみたいだけ it's all or nothing

Could you believe me now
隠かくしていたって透すけて見みえるの
Nothing to hide, you know
ためらうほど
I'm gonna take you

Higher
I see it's written on your face
Yeah you like it so bad
Higher
So don't be late I'm on my way
Yeah I like it so bad

Beat it, beat it, beat it, now I need it
Adore me, don't ignore me
Baby trust me
Let's keep it confidential

Make it, make it, make it harder baby
I'm super fast like sonic
Baby trust me
Let's keep it confidential

足止あしどめくらうほど
面白おもしろくなってきちゃうの
生意気なまいきなrhymeでdrive
刺激しげき待まつより焚たき付つけたい you have the key

Could you believe me now
(Could you believe me now)
隠かくしてみたって溢あふれ出だすの
Nothing to hide, you know
(You've seen nothing yet)
走はしっていたいの
I'm gonna take you

Higher
I see it's written on your face
Yeah you like it so bad
Higher
So don't be late I'm on my way
Yeah I like it so bad

Beat it, beat it, beat it, now I need it
Adore me, don't ignore me
Baby trust me
Let's keep it confidential

Make it, make it, make it harder baby
I'm super fast like sonic
Baby trust me
Let's keep it confidential

(Bass!)

Let's keep it
Let's keep it"
Green Lights,2024.6.5 リリース,milet,"milet, TomoLow",,"It's me from the future
Like the words have no power
You should find someone
who really can make you feel the world is ours

Chill out, don't interrupt, attention

Mother Nature she is god
Shame and fear they're in my bed

Do not let others handle your pain
Do not let others steal your fame

Nothing is fair.
You'll be compared
Grasping a hot coal
And you're the one who gets burned

So GREEN LIGHTS
Drink the shine.
GREEN LIGHTS
The time is cruel

GREEN LIGHTS
Handle your pain.
GREEN LIGHTS
GREEN LIGHTS

Girl hold on
Yeah you're trying and trying and trying
But don't forgive the past to change
We're scared to face the truth
I'm watching over you

I found myself with wonderful friends in the bin
I'd fall in love with your heart
Even if it kills my bird"
SEVENTH HEAVEN,2022.2.2 リリース,milet,"milet, TomoLow",,"What are you waiting for? Let me know 君きみの
カウントインで Get it on Turn it on Kissの先さきを

甘あまい夜よるがかけた魔法まほうはブラックホールの果はて
吸すい込こまれて 溶とけて 混まぜて 無制限むせいげんのticket

もう息いきもできないよ underground
暗闇くらやみも Run baby, run babe 無む重力じゅうりょくの night train
迎むかえに行いくから 窓まど開あけて Run baby, run baby,
1,2,3

Sing it! Da da la da
I want your love 乗のり過すごして Dance all night I want your love
君きみがいれば Alright

Kiss me come closer, come closer
'Cause our heaven is here
Kiss me come closer, come closer
'Cause our heaven is here
Kiss me and come closer, come closer
'Cause our heaven is here
Kiss me and come closer, come closer
If you love me babe

忘わすれさせてあげる 1秒びょう前まえの名めいシーンも
アドリブだけ決きめて笑わらって 無計画むけいかく but who cares

もう息いきもできないよ underground
行いき先さきは Run baby, run babe 任まかせて night train
全すべて捨すてたら 飛とび乗のるの Run baby, run baby,
1,2,3

Sing it! Da da la da
I want your love 今いま欲ほしいの your love
I want your love 君きみがいれば Alright

CDG-CPT if you'll go
TSA-LAX want more
m-i-l-e-t I'm with ya

YVR-ICN come on
RGN yah all day all night
All roads lead to here
It's Tokyo
My heaven, yeah

Sing it! Da da la da
I want your love 今いま欲ほしいの your love
I want your love 君きみがいれば Alright

Sing it! Da da la da
I want your love 乗のり過すごし Dance all night
I want your love 君きみがいれば Alright"
Wings(出光興産 CMソング),2024.1.31 リリース,"milet, Ryosuke“Dr.R”Sakai","milet, Ryosuke“Dr.R”Sakai",,"It's not easy 抱だきしめたい
またいつも通どおり it's gonna make me cry
ねえどんな風ふうに 見みつめてた?
飛とべない羽はねだって気付きづいても

きっとどこを探さがしても
すぐに見みつからなくても
Now what am I running for
But I wanna still believe
きっと忘わすれてしまうから
ほどけたって結むすび直なおすように
Found the one worth fighting for
一度いちどきりしかない最後さいごまで

「どうせ」また口走くちばしった
飛とんだように落おちて弾ひかれた
もうどんな歌うただって救すくえない
The stars are so hard to reach
But it's not that far from here

きっとどこを探さがしても
すぐに見みつからなくても
Now what am I running for
But I wanna still believe

I've been running round in circles in my mind
I've been trying trying tryna make a change
I've been flying flying with my broken wings
I've been running running

きっとどこを探さがしても
すぐに見みつからなくても
Tell me that you'll stay with me
‘Cause I wanna still believe
きっと忘わすれてしまうけど
何度なんどだって繰くり返かえすように
Found the one worth fighting for
一度いちどきりしかない最後さいごまで

I've been running round in circles in my mind
I've been trying trying tryna make a change
I've been flying flying with my broken wings
I've been trying trying tryna make a change"
Always You(映画「TANG タング」主題歌),2022.8.17 リリース,milet,"milet, TomoLow",,"It's always you, always you 誰だれよりも
I know it's you, know it's you 近付ちかづいて
君きみがいたら変かわる世界せかいまで変かわる

あと一言ひとこと 迷子まいごのまま
着地ちゃくちもせずに (Where you at? Where you at?)
空から回まわりばっかも悪わるくないかな
君きみが笑わらうから
時ときを止とめるように 夢ゆめが解ほどけないように
そんなバカみたいなことを本気ほんきで願ねがってしまうよ
All I want
All I want is you

It's always you, always you 誰だれよりも
I know it's you, know it's you 近付ちかづいて
君きみがいたら変かわる 世界せかいまで変かわる

君きみも知しらない君きみのこと
教おしえたくないの誰だれにも
ここだけの秘密ひみつ
You're the one that I really want

Hurry up 足たりない 機械きかい仕掛じかけnight
Build it up 消きえない 重かさなるfootmarks
All I want is you
見みつめていたいの
'Cause it's the way we go now

誰だれのせいにもできないこと
飲のみ込こんで大人おとなに(Where I'm at? Where I'm at?)
なった気きがしてた
錆さびついた足あしで背伸せのびして覗のぞいて

一人ひとりじゃないのに もう帰かえれないのに

どんな場所ばしょにいたって
いつでも君きみのことを想おもってしまうよ
'Cause all I want, all I want is you

It's always you, always you 誰だれよりも
I know it's you, know it's you 近付ちかづいて
君きみがいたら変かわる 世界せかいまで変かわる

君きみも知しらない君きみのこと
教おしえたくないの誰だれにも
ここだけの秘密ひみつ
You're the one that I really want

You're always you
That's why I'm with you

I know it's you
It's you

It's always you, always you 誰だれよりも
I know it's you, know it's you 近付ちかづいて
君きみがいたら変かわる 世界せかいまで変かわる

君きみも知しらない君きみのこと
目めには見みえないその本当ほんとう
何度なんどでも言いうよ
You're the one that I really want

Hurry up 足たりない 機械きかい仕掛じかけnight
Build it up 消きえない 重かさなるfootmarks
All I want is you
見みつめていたいの
'Cause it's the way we go now"
The Hardest(木曜ドラマ「七人の秘書」主題歌),2020.12.2 リリース,"Daisuke Nakamura, milet","Daisuke Nakamura, TomoLow, milet",,"I've been flying
But I've been falling
抜ぬけ出だしたくないよ
If you're gonna leave me, my love has no meaning
まだそばにいたいよ

'Cause you gave me life, you gave me life
一人ひとりきりじゃ思おもい出だしてしまうから
And you showed me love, you showed me love
離はなれられない 思おもい出でのにおいも

簡単かんたんに言いわないで I'm still here
ここで今いますぐ抱だきしめて
いつまでも私わたしだけ夜よるのなか置おいていかないで

You know I'm wating for you to come back
返事へんじを聞きいてよ

You can't imagine how much I'm missing you now
影かげが消きえるよ

簡単かんたんに言いわないで I'm still here
ここで今いますぐ抱だきしめて
So don't let me walk alone
もう私わたしだけ夜よるのなか置おいていかないで

I only want you to stay beside me
遠とおざかった朝あさを待まってる
ねぇ教おしえてよ What am I to you?

How many times should I cry?
I'm begging you
まだ思おもい出だしていたい
My love is for you

簡単かんたんに言いわないで I'm still here
ここで今いますぐ抱だきしめて
いつまでも私わたしだけ夜よるのなか置おいていかないで

気きづいてよ私わたしだけ一人ひとりのまま置おいてかないで"
Parachute,2020.6.3 リリース,"Kanata Okajima, milet, Ryosuke'Dr.R'Sakai","Kanata Okajima, milet, Ryosuke'Dr.R'Sakai",,"Parachute 行いき場ばのない
Parachute Tonight
Parachute 気流きりゅうのsigh 乱みだれる

救すくいなど求もとめない 消きえてく景色けしきは slowly
戻もどりたくないほど I got an issue

How long should we go?

Will you save me, parachute?
Can I just fall into you? If you love me
手てを伸のばしても届とどかない
着地点ちゃくちてんは it's not the end
Parachute you can't save me, so I will do
If you love me
堕おちていってもかまわない
あなたがいれば it'll all be fine

Parachute 絡からまりは
Parachute It's love
Parachute ほどかずに堕おちてみたい

凍こおる吐息といきの音おと 震ふるえる意識いしきは朦朧もうろう
だけど後悔こうかいはない I know I got you

Come along, I belong to you
Will you save me, parachute?
Can I just fall into you? If you love me

手てを伸のばしても届とどかない
着地点ちゃくちてんは it's not the end
Parachute you can't save me, so I will do
If you love me
堕おちていってもかまわない
あなたがいれば it'll all be fine

Parachute…

One, two, three and calm down
Falling, fall into you
いつかは信しんじてみたい why don't we try?

Will you save me, parachute?
Can I just fall into you? If you love me
手てを伸のばしても届とどかない
着地点ちゃくちてんは it's not the end
Parachute, you can't save me, so I will do
Cause I know you love me
堕おちていってもかまわない
あなたがいれば it'll all be fine

Parachute 行いき場ばのない"
One Reason(映画「鹿の王 ユナと約束の旅」主題歌),2022.2.2 リリース,"Toru, milet","Toru, milet",,"It's time to give up
But I just don't wanna
消けそうとすれば 染しみ付ついていく

いつかわかるなら 今いま知しりたいこと
嘘うそに変かわるその前まえに教おしえて

Maybe I'm just too much
But I can't forget your touch
温度おんども思おもい出だせるのに

There's one reason to love
A million reasons to leave
今いまはもう戻もどらない声こえの向むこう
巻まき戻もどすように 取とり戻もどすように
I miss you, I miss you now
But you'll never, you'll never know

It's time to get up
何一なにひとつまだ こんな歌うたじゃ薄うすまらない

I still remember your love
信しんじてくれるかな
息いき継つぐための理由りゆうを教おしえて

Maybe I'm just too much
But I can't forget your touch
夢ゆめなら思おもい出だせるのに

There's one reason to love
A million reasons to leave
今いまはもう戻もどらない声こえの向むこう
巻まき戻もどすように 取とり戻もどすように

I miss you, I miss you now
But you'll never, you'll never know

I won't ever let you go
It's still the same in my dreams
Don't leave me lonely
I wanna hold you tight
I won't let you go
No I won't let you go

There's one reason to love you
Still I'm calling your name
ただ 終おわらない夜よるを泳およいで行いこう
巻まき戻もどすように あなたを探さがすように
I miss you, I miss you now
But you'll never, you'll never know

There's one reason to love you
Still I'm calling your name out
I miss you, I miss you now
But you'll never, you'll never know"
Bluer,2024.6.5 リリース,milet,"milet, MEG",,"ガラスのような瞳ひとみで私わたしを見みてた
心こころ透すかした space and time
吐はいた息いきの泡あわの行方ゆくえは際限さいげんない夜よるが吸すい込こんでいった
Darker than blue
Bluer than blue

違ちがっていて でも同おなじ姿すがたで
生うまれる前まえからここで出会であっていたこと

あなたに触ふれてこの光ひかりが見みえた
私わたしを呼よんだ声こえがずっと残のこっていてあたたかい
ただ息いきをするたび強つよくあなたを思おもった
Deeper than your seas, your dreams
You're my living proof
My living proof

Touch me now
Let me in your heart
Close your eyes
Feel me in your arms

あなたは私わたしの名前なまえをまだ知しらないの
知しり尽つくせない but see my world

ここへ飛とび込こんで 碧あおい記憶きおくの奥おくへ
目めを瞑つむった私わたしの半分はんぶんの闇やみを照てらしてく

You're the wings for me

違ちがっていて でも同おなじ姿すがたで
生うまれる前まえからここで出会であっていたこと

あなたに触ふれてこの光ひかりが見みえた
私わたしを呼よんだ声こえがずっと残のこっていてあたたかい
ただ息いきをするたび強つよくあなたを思おもった
Deeper than your seas, your dreams
You're my living proof
My living proof

Touch me now
Let me in your heart
Close your eyes
Feel me in your arms"
Hey Song,2023.8.30 リリース,"milet, Ryosuke“Dr.R”Sakai, Max Hershenow","milet, Ryosuke“Dr.R”Sakai, Max Hershenow",,"もう頭あたまは overload
食たべ尽つくした HARIBO
音おと漏もれする headphones
It's 4AM の孤独こどく

会あいたいなんて言いわない
もどかしい今いまも愛あいしたい
違ちがっていて良いいんじゃない
私わたしは私わたしでいたいの

We're all lonely
Show me your dream
あなたのしたいように
正解せいかいだけの世界せかいじゃない
Maybe it's not a masterpiece
But who cares if you'll sing with me
So let's go
The sun's up
I like you just the way you are

1,2,3 Your smile is the best thing in the world
かなわない 眩まぶしくて溢あふれだして
悲かなしい夜よるは明あけるよ
Sing ""It's alright""
Everything's gonna be alright

テキトーなんてできない
でも曖昧あいまいも嫌いやじゃない
我慢がまんしなくて良いいんじゃない
もう頭あたま再起動さいきどうしたい

ため息いきばかり party night
胸むねがぎゅっとなって切せつない
お開ひらきからがスタート
最高さいこうで最低さいていな歌うたを

No it's not a masterpiece
But who cares if you'll sing with me
So let's go
The sun's up
I like you just the way you are

1,2,3 Your smile is the best thing in the world
かなわない 眩まぶしくて溢あふれだして
悲かなしい夜よるは明あけるよ
Sing ""It's alright""
You wanna sing with me?

Hey

1,2,3 Your smile is the best thing in the world
かなわない 眩まぶしくて溢あふれだして
悲かなしい夜よるは明あけるよ
Sing ""It's alright""
Everything's gonna be alright

Hey(hey)
Whoa(whoa)
Hey(hey)
Whoa(whoa)

1,2,3 Your smile is the best thing in the world
かなわない 眩まぶしくて溢あふれだして
悲かなしい夜よるは明あけるよ
Sing ""It's alright""
Everything's gonna be alright"
Until I Die,2020.6.3 リリース,milet,milet,,"Everyday I am praying
夢ゆめなら覚さめるように
Everyday I am dying
鱗うろこを剥はがすように

I' ｍ gonna take yo ｕ far away
息いきを止とめ汚よごれた手てで抱だきしめて
Who' ll keep me wide awake?
I' m never gonna leave your side
Just show me ｗho　you are

We' re gonna carry on
We' re gonna carry on
The rain will wash your pain away
引ひき延のばしても意味いみもないほど
The rain will wash your past away

So hit the ground, I'll burn 'ｅｍ up to night
Please just stimulate my brain until ｌ die
Come with me
Hit the ｇro und, I'll burn 'ｅｍ up tonight
Please just stimulate my brain until i die
Until I die

When will I be satisfied?
埋うめ合あわせるほどに
Brace myself for the fight
行いき詰づまっていく　painfully

I' ｍ gonna take you far away
行いき止どまっても恐おそれないように
あなたが居いたい世界せかいなら
I' ｍ never gonna leave your side
Just show me who you are

We' re gonna carry on
We' re gonna carry on
The rain ｗill wash your pain away
引ひき延のばしても意味いみもないほど
The rain will wash your past away

There' ｓ nothing left to lose
私わたしは打うち上あげられた残骸ざんがいの
生なまぬるい海うみに浮うかんでた、
We' re the same
I'm your soul
I'm your home

We' re gonna carry on
We' re gonna carry on
The rain will wash your pain away
We don' t know how to go
We' re gonna fall apart?
The rain will wash yoour past away

There' s nothing left to lose 'cause I' m alone
(You can burn me down)
There's noothing we can do but carry on
(And just tear me down)
I' ll climb up the burning tree toonight but no one knows
We' re the same
I'm your soul
I'm your home"
